"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00014745","CONCORD ASOS, NH US","2020-01-01","8.05",",,W",,,"0.00",",,D,2400","0.0",",,D","7.0",",,D","33","H,,S","37",",,D","30",",,D","  300",",,W","  310",",,W","17.0",",,W","25.9",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-02","4.70",",,W",,,"0.00",",,D,2400","0.0",",,D","6.0",",,D","32","H,,S","41",",,D","23",",,D","  210",",,W","  210",",,W","12.1",",,W","15.0",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-03","0.22",",,W",,,"0.00","T,,D,2400","0.0",",,D","6.0",",,D","33","H,,S","41",",,D","29",",,D","  170",",,W","  210",",,W","4.9",",,W","4.9",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-04","2.68",",,W",,,"0.25",",,D,2400","0.0","T,,D","6.0",",,D","34","H,,S","38",",,D","31",",,D","  330",",,W","  310",",,W","10.1",",,W","13.0",",,W","    1",",,W","    1",",,W",,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-05","15.43",",,W",,,"0.07",",,D,2400","0.2",",,D","6.0",",,D","32","H,,S","33",",,D","22",",,D","  310",",,W","  280",",,W","30.0",",,W","38.9",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-06","2.01",",,W",,,"0.00","T,,D,2400","0.1",",,D","6.0",",,D","23","H,,S","28",",,D","15",",,D","  330",",,W","  310",",,W","10.1",",,W","13.0",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-07","4.03",",,W",,,"0.00","T,,D,2400","0.1",",,D","6.0",",,D","27","H,,S","38",",,D","18",",,D","  270",",,W","  270",",,W","19.9",",,W","29.1",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-08","9.62",",,W",,,"0.02",",,D,2400","0.9",",,D","6.0",",,D","30","H,,S","38",",,D","22",",,D","  290",",,W","  300",",,W","28.0",",,W","38.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-01-09","9.62",",,W",,,"0.01",",,D,2400","0.2",",,D","7.0",",,D","20","H,,S","23",",,D","12",",,D","  310",",,W","  290",",,W","25.9",",,W","34.0",",,W",,,,,,,"    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-01-10","4.47",",,W",,,"0.00",",,D,2400","0.0",",,D","7.0",",,D","26","H,,S","43",",,D","14",",,D","  190",",,W","  190",",,W","12.1",",,W","15.0",",,W",,,,,,,"    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-01-11","9.17",",,W",,,"0.00",",,D,2400","0.0",",,D","6.0",",,D","46","H,,S","61",",,D","35",",,D","  230",",,W","  210",",,W","25.9",",,W","38.0",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-12","10.29",",,W",,,"0.11",",,D,2400","0.0",",,D","3.0",",,D","58","H,,S","67",",,D","27",",,D","  270",",,W","  280",",,W","33.1",",,W","51.0",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-13","2.91",",,W",,,"0.00","T,,D,2400","0.0","T,,D","3.0",",,D","29","H,,S","29",",,D","26",",,D","  110",",,W","  110",",,W","8.9",",,W","15.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-01-14","2.24",",,W",,,"0.00","T,,D,2400","0.0","T,,D","2.0",",,D","31","H,,S","38",",,D","28",",,D","   90",",,W","   80",",,W","8.9",",,W","15.0",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-15","3.13",",,W",,,"0.00","T,,D,2400","0.0","T,,D","2.0",",,D","36","H,,S","46",",,D","28",",,D","  260",",,W","  260",",,W","15.0",",,W","21.0",",,W","    1",",,W","    1",",,W",,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-16","8.05",",,W",,,"0.27",",,D,2400","3.1",",,D","4.0",",,D","32","H,,S","36",",,D","20",",,D","  310",",,W","  310",",,W","23.9",",,W","44.1",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-17",,,,,"0.00",",,D,2400","0.0",",,D","5.0",",,D","15","H,,S","20",",,D","5",",,D",,,,,,,,,,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-18",,,,,"0.42",",,D,2400","3.7",",,D","5.0",",,D","9","H,,S","16",",,D","4",",,D",,,,,"21.9",",,W",,,,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-19","8.95",",,W",,,"0.04",",,D,2400","0.4",",,D","9.0",",,D","21","H,,S","39",",,D","9",",,D","  330",",,W","  320",",,W","25.1",",,W","36.0",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-20","11.63",",,W",,,"0.00",",,D,2400","0.0",",,D","8.0",",,D","16","H,,S","22",",,D","10",",,D","  310",",,W","  310",",,W","23.0",",,W","30.0",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-21","3.36",",,W",,,"0.00",",,D,2400","0.0",",,D","8.0",",,D","13","H,,S","23",",,D","-3",",,D","  310",",,W","  330",",,W","10.1",",,W","14.1",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-22","0.00",",,W",,,"0.00",",,D,2400","0.0",",,D","8.0",",,D","15","H,,S","36",",,D","1",",,D","  320",",,W","  360",",,W","6.0",",,W","8.1",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-23","0.22",",,W",,,"0.00",",,D,2400","0.0",",,D","8.0",",,D","19","H,,S","39",",,D","2",",,D","   40",",,W","  140",",,W","4.9",",,W","6.9",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-24","2.01",",,W",,,"0.00",",,D,2400","0.0",",,D","7.0",",,D","28","H,,S","45",",,D","17",",,D","   90",",,W","   90",",,W","12.1",",,W","14.1",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-25","8.28",",,W",,,"0.70",",,D,2400","0.0",",,D","7.0",",,D","36","H,,S","40",",,D","33",",,D","   80",",,W","   80",",,W","18.1",",,W","25.9",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-26","6.93",",,W",,,"0.02",",,D,2400","0.0",",,D","5.0",",,D","39","H,,S","47",",,D","30",",,D","  250",",,W","  270",",,W","21.0",",,W","25.9",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-27","6.04",",,W",,,"0.00",",,D,2400","0.0",",,D","5.0",",,D","38","H,,S","43",",,D","34",",,D","  300",",,W","  300",",,W","15.0",",,W","19.9",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-28","9.62",",,W",,,"0.00",",,D,2400","0.0",",,D","4.0",",,D","34","H,,S","36",",,D","30",",,D","  340",",,W","  360",",,W","17.0",",,W","25.9",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-29","11.41",",,W",,,"0.00",",,D,2400","0.0",",,D","4.0",",,D","30","H,,S","36",",,D","18",",,D","  290",",,W","  300",",,W","21.9",",,W","25.9",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-30","2.91",",,W",,,"0.00",",,D,2400","0.0",",,D","4.0",",,D","22","H,,S","35",",,D","11",",,D","  320",",,W","  330",",,W","8.9",",,W","11.0",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-31","1.79",",,W",,,"0.00",",,D,2400","0.0",",,D","4.0",",,D","24","H,,S","41",",,D","10",",,D","  230",",,W","  240",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-02-01","0.22",",,W",,,"0.00","T,,D,2400","0.0","T,,D","4.0",",,D","33","H,,S","38",",,D","28",",,D","  160",",,W","  180",",,W","6.0",",,W","6.9",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-02-02","2.01",",,W",,,"0.00",",,D,2400","0.0",",,D","4.0",",,D","32","H,,S","37",",,D","24",",,D","  290",",,W","  290",",,W","14.1",",,W","18.1",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-02-03","4.70",",,W",,,"0.00",",,D,2400","0.0",",,D","4.0",",,D","31","H,,S","45",",,D","21",",,D","  280",",,W","  310",",,W","18.1",",,W","25.1",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-02-04","1.34",",,W",,,"0.00",",,D,2400","0.0",",,D","4.0",",,D","34","H,,S","42",",,D","24",",,D","  180",",,W","  160",",,W","8.1",",,W","13.0",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-02-05","7.61",",,W",,,"0.00",",,D,2400","0.0",",,D","3.0",",,D","34","H,,S","37",",,D","24",",,D","  300",",,W","  310",",,W","19.9",",,W","25.9",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-02-06","5.37",",,W",,,"0.47",",,D,2400","3.2",",,D","6.0",",,D","27","H,,S","31",",,D","24",",,D","  330",",,W","  330",",,W","12.1",",,W","13.0",",,W","    1",",,W",,,"    1",",,W","    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-02-07","9.17",",,W",,,"0.60",",,D,2400","1.1",",,D","7.0",",,D","31","H,,S","34",",,D","20",",,D","  300",",,W","  300",",,W","25.1",",,W","36.0",",,W","    1",",,W",,,"    1",",,W",,
"USW00014745","CONCORD ASOS, NH US","2020-02-08","9.17",",,W",,,"0.00","T,,D,2400","0.0","T,,D","0.0",",,D","21","H,,S","25",",,D","4",",,D","  290",",,W","  280",",,W","28.0",",,W","38.0",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-02-09","1.57",",,W"," 1447",",,W","0.02",",,D,2400","0.5",",,D","8.0",",,D","12","H,,S","27",",,D","-2",",,D","  160",",,W","  190",",,W","8.9",",,W","13.0",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-02-10",,,,,,,,,,,"25","H,,S",,,,,,,,,,,,,,,,,,,,
